sector,region_of_residence,gender,min_age,max_age,age_group,max_tax_rate,min_income_brackets,max_income_brackets,income_bracket_range,population_size
personale difesa  sicurezza e soccorso pubblico,lombardia,1,35,44,35-44,23,,fino a 28000,0–28000,2055
personale difesa  sicurezza e soccorso pubblico,lombardia,1,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,3922
personale difesa  sicurezza e soccorso pubblico,lombardia,1,35,44,35-44,43,oltre i 50000,,50000+,1
personale difesa  sicurezza e soccorso pubblico,lombardia,1,45,54,45-54,23,,fino a 28000,0–28000,255
personale difesa  sicurezza e soccorso pubblico,lombardia,1,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,7538
personale difesa  sicurezza e soccorso pubblico,lombardia,1,45,54,45-54,43,oltre i 50000,,50000+,7
personale difesa  sicurezza e soccorso pubblico,lombardia,1,55,64,55-64,23,,fino a 28000,0–28000,338
personale difesa  sicurezza e soccorso pubblico,lombardia,1,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,3676
personale difesa  sicurezza e soccorso pubblico,lombardia,1,55,64,55-64,43,oltre i 50000,,50000+,14
personale difesa  sicurezza e soccorso pubblico,marche,0,65, ,65- ,23,,fino a 28000,0–28000,2
personale difesa  sicurezza e soccorso pubblico,marche,0,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,1
personale difesa  sicurezza e soccorso pubblico,marche,0,18,24,18-24,23,,fino a 28000,0–28000,97
personale difesa  sicurezza e soccorso pubblico,marche,0,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,4
personale difesa  sicurezza e soccorso pubblico,marche,0,25,34,25-34,23,,fino a 28000,0–28000,148
personale difesa  sicurezza e soccorso pubblico,marche,0,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,67
personale difesa  sicurezza e soccorso pubblico,marche,0,35,44,35-44,23,,fino a 28000,0–28000,76
personale difesa  sicurezza e soccorso pubblico,marche,0,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,115
personale difesa  sicurezza e soccorso pubblico,marche,0,45,54,45-54,23,,fino a 28000,0–28000,14
personale difesa  sicurezza e soccorso pubblico,marche,0,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,140
personale difesa  sicurezza e soccorso pubblico,marche,0,45,54,45-54,43,oltre i 50000,,50000+,1
personale difesa  sicurezza e soccorso pubblico,marche,0,55,64,55-64,23,,fino a 28000,0–28000,17
personale difesa  sicurezza e soccorso pubblico,marche,0,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,179
personale difesa  sicurezza e soccorso pubblico,marche,1,65, ,65- ,23,,fino a 28000,0–28000,1
personale difesa  sicurezza e soccorso pubblico,marche,1,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,5
personale difesa  sicurezza e soccorso pubblico,marche,1,65, ,65- ,43,oltre i 50000,,50000+,1
personale difesa  sicurezza e soccorso pubblico,marche,1,18,24,18-24,23,,fino a 28000,0–28000,217
personale difesa  sicurezza e soccorso pubblico,marche,1,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,24
personale difesa  sicurezza e soccorso pubblico,marche,1,25,34,25-34,23,,fino a 28000,0–28000,555
personale difesa  sicurezza e soccorso pubblico,marche,1,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,167
personale difesa  sicurezza e soccorso pubblico,marche,1,35,44,35-44,23,,fino a 28000,0–28000,466
personale difesa  sicurezza e soccorso pubblico,marche,1,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,745
personale difesa  sicurezza e soccorso pubblico,marche,1,35,44,35-44,43,oltre i 50000,,50000+,1
personale difesa  sicurezza e soccorso pubblico,marche,1,45,54,45-54,23,,fino a 28000,0–28000,94
personale difesa  sicurezza e soccorso pubblico,marche,1,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,1951
personale difesa  sicurezza e soccorso pubblico,marche,1,55,64,55-64,23,,fino a 28000,0–28000,106
personale difesa  sicurezza e soccorso pubblico,marche,1,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,1563
personale difesa  sicurezza e soccorso pubblico,marche,1,55,64,55-64,43,oltre i 50000,,50000+,3
personale difesa  sicurezza e soccorso pubblico,molise,0,65, ,65- ,23,,fino a 28000,0–28000,1
personale difesa  sicurezza e soccorso pubblico,molise,0,18,24,18-24,23,,fino a 28000,0–28000,52
personale difesa  sicurezza e soccorso pubblico,molise,0,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,5
personale difesa  sicurezza e soccorso pubblico,molise,0,25,34,25-34,23,,fino a 28000,0–28000,80
personale difesa  sicurezza e soccorso pubblico,molise,0,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,33
personale difesa  sicurezza e soccorso pubblico,molise,0,35,44,35-44,23,,fino a 28000,0–28000,21
personale difesa  sicurezza e soccorso pubblico,molise,0,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,15
personale difesa  sicurezza e soccorso pubblico,molise,0,45,54,45-54,23,,fino a 28000,0–28000,6
personale difesa  sicurezza e soccorso pubblico,molise,0,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,51
personale difesa  sicurezza e soccorso pubblico,molise,0,55,64,55-64,23,,fino a 28000,0–28000,4
personale difesa  sicurezza e soccorso pubblico,molise,0,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,48
personale difesa  sicurezza e soccorso pubblico,molise,1,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,1
personale difesa  sicurezza e soccorso pubblico,molise,1,18,24,18-24,23,,fino a 28000,0–28000,124
personale difesa  sicurezza e soccorso pubblico,molise,1,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,13
personale difesa  sicurezza e soccorso pubblico,molise,1,25,34,25-34,23,,fino a 28000,0–28000,256
personale difesa  sicurezza e soccorso pubblico,molise,1,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,65
personale difesa  sicurezza e soccorso pubblico,molise,1,35,44,35-44,23,,fino a 28000,0–28000,156
personale difesa  sicurezza e soccorso pubblico,molise,1,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,201
personale difesa  sicurezza e soccorso pubblico,molise,1,35,44,35-44,43,oltre i 50000,,50000+,2
personale difesa  sicurezza e soccorso pubblico,molise,1,45,54,45-54,23,,fino a 28000,0–28000,48
personale difesa  sicurezza e soccorso pubblico,molise,1,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,685
personale difesa  sicurezza e soccorso pubblico,molise,1,55,64,55-64,23,,fino a 28000,0–28000,30
personale difesa  sicurezza e soccorso pubblico,molise,1,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,421
personale difesa  sicurezza e soccorso pubblico,molise,1,55,64,55-64,43,oltre i 50000,,50000+,3
personale difesa  sicurezza e soccorso pubblico,piemonte,0,65, ,65- ,23,,fino a 28000,0–28000,5
personale difesa  sicurezza e soccorso pubblico,piemonte,0,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,3
personale difesa  sicurezza e soccorso pubblico,piemonte,0,18,24,18-24,23,,fino a 28000,0–28000,125
personale difesa  sicurezza e soccorso pubblico,piemonte,0,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,9
personale difesa  sicurezza e soccorso pubblico,piemonte,0,25,34,25-34,23,,fino a 28000,0–28000,399
personale difesa  sicurezza e soccorso pubblico,piemonte,0,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,155
personale difesa  sicurezza e soccorso pubblico,piemonte,0,35,44,35-44,23,,fino a 28000,0–28000,230
personale difesa  sicurezza e soccorso pubblico,piemonte,0,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,272
personale difesa  sicurezza e soccorso pubblico,piemonte,0,45,54,45-54,23,,fino a 28000,0–28000,22
personale difesa  sicurezza e soccorso pubblico,piemonte,0,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,290
personale difesa  sicurezza e soccorso pubblico,piemonte,0,55,64,55-64,23,,fino a 28000,0–28000,25
personale difesa  sicurezza e soccorso pubblico,piemonte,0,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,300
personale difesa  sicurezza e soccorso pubblico,piemonte,1,65, ,65- ,23,,fino a 28000,0–28000,1
personale difesa  sicurezza e soccorso pubblico,piemonte,1,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,3
personale difesa  sicurezza e soccorso pubblico,piemonte,1,18,24,18-24,23,,fino a 28000,0–28000,353
personale difesa  sicurezza e soccorso pubblico,piemonte,1,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,44
personale difesa  sicurezza e soccorso pubblico,piemonte,1,25,34,25-34,23,,fino a 28000,0–28000,1564
personale difesa  sicurezza e soccorso pubblico,piemonte,1,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,455
personale difesa  sicurezza e soccorso pubblico,piemonte,1,35,44,35-44,23,,fino a 28000,0–28000,1682
personale difesa  sicurezza e soccorso pubblico,piemonte,1,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,2586
personale difesa  sicurezza e soccorso pubblico,piemonte,1,45,54,45-54,23,,fino a 28000,0–28000,245
personale difesa  sicurezza e soccorso pubblico,piemonte,1,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,4420
personale difesa  sicurezza e soccorso pubblico,piemonte,1,45,54,45-54,43,oltre i 50000,,50000+,1
personale difesa  sicurezza e soccorso pubblico,piemonte,1,55,64,55-64,23,,fino a 28000,0–28000,167
personale difesa  sicurezza e soccorso pubblico,piemonte,1,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,2450
personale difesa  sicurezza e soccorso pubblico,piemonte,1,55,64,55-64,43,oltre i 50000,,50000+,8
personale difesa  sicurezza e soccorso pubblico,puglia,0,65, ,65- ,23,,fino a 28000,0–28000,2
personale difesa  sicurezza e soccorso pubblico,puglia,0,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,2
personale difesa  sicurezza e soccorso pubblico,puglia,0,18,24,18-24,23,,fino a 28000,0–28000,1323
personale difesa  sicurezza e soccorso pubblico,puglia,0,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,54
personale difesa  sicurezza e soccorso pubblico,puglia,0,25,34,25-34,23,,fino a 28000,0–28000,1609
personale difesa  sicurezza e soccorso pubblico,puglia,0,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,435
personale difesa  sicurezza e soccorso pubblico,puglia,0,35,44,35-44,23,,fino a 28000,0–28000,288
personale difesa  sicurezza e soccorso pubblico,puglia,0,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,428
personale difesa  sicurezza e soccorso pubblico,puglia,0,45,54,45-54,23,,fino a 28000,0–28000,33
personale difesa  sicurezza e soccorso pubblico,puglia,0,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,323
personale difesa  sicurezza e soccorso pubblico,puglia,0,45,54,45-54,43,oltre i 50000,,50000+,3
personale difesa  sicurezza e soccorso pubblico,puglia,0,55,64,55-64,23,,fino a 28000,0–28000,25
personale difesa  sicurezza e soccorso pubblico,puglia,0,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,307
personale difesa  sicurezza e soccorso pubblico,puglia,1,65, ,65- ,23,,fino a 28000,0–28000,8
personale difesa  sicurezza e soccorso pubblico,puglia,1,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,5
personale difesa  sicurezza e soccorso pubblico,puglia,1,65, ,65- ,43,oltre i 50000,,50000+,1
personale difesa  sicurezza e soccorso pubblico,puglia,1,18,24,18-24,23,,fino a 28000,0–28000,4666
personale difesa  sicurezza e soccorso pubblico,puglia,1,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,230
personale difesa  sicurezza e soccorso pubblico,puglia,1,25,34,25-34,23,,fino a 28000,0–28000,6479
personale difesa  sicurezza e soccorso pubblico,puglia,1,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,1520
personale difesa  sicurezza e soccorso pubblico,puglia,1,25,34,25-34,43,oltre i 50000,,50000+,1
personale difesa  sicurezza e soccorso pubblico,puglia,1,35,44,35-44,23,,fino a 28000,0–28000,2049
personale difesa  sicurezza e soccorso pubblico,puglia,1,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,6146
personale difesa  sicurezza e soccorso pubblico,puglia,1,35,44,35-44,43,oltre i 50000,,50000+,7
personale difesa  sicurezza e soccorso pubblico,puglia,1,45,54,45-54,23,,fino a 28000,0–28000,320
personale difesa  sicurezza e soccorso pubblico,puglia,1,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,13920
personale difesa  sicurezza e soccorso pubblico,puglia,1,45,54,45-54,43,oltre i 50000,,50000+,15
personale difesa  sicurezza e soccorso pubblico,puglia,1,55,64,55-64,23,,fino a 28000,0–28000,408
personale difesa  sicurezza e soccorso pubblico,puglia,1,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,7035
personale difesa  sicurezza e soccorso pubblico,puglia,1,55,64,55-64,43,oltre i 50000,,50000+,22
personale difesa  sicurezza e soccorso pubblico,sardegna,0,65, ,65- ,23,,fino a 28000,0–28000,3
personale difesa  sicurezza e soccorso pubblico,sardegna,0,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,1
personale difesa  sicurezza e soccorso pubblico,sardegna,0,18,24,18-24,23,,fino a 28000,0–28000,183
personale difesa  sicurezza e soccorso pubblico,sardegna,0,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,4
personale difesa  sicurezza e soccorso pubblico,sardegna,0,25,34,25-34,23,,fino a 28000,0–28000,353
personale difesa  sicurezza e soccorso pubblico,sardegna,0,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,89
personale difesa  sicurezza e soccorso pubblico,sardegna,0,35,44,35-44,23,,fino a 28000,0–28000,115
personale difesa  sicurezza e soccorso pubblico,sardegna,0,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,157
personale difesa  sicurezza e soccorso pubblico,sardegna,0,45,54,45-54,23,,fino a 28000,0–28000,14
personale difesa  sicurezza e soccorso pubblico,sardegna,0,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,163
personale difesa  sicurezza e soccorso pubblico,sardegna,0,55,64,55-64,23,,fino a 28000,0–28000,9
personale difesa  sicurezza e soccorso pubblico,sardegna,0,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,172
personale difesa  sicurezza e soccorso pubblico,sardegna,1,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,4
personale difesa  sicurezza e soccorso pubblico,sardegna,1,18,24,18-24,23,,fino a 28000,0–28000,684
