municipality,administration,min_age,max_age,age_group,gender,payment_method,salary_records
visciano,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,9
visciano,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,72
visciano,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,13
visciano,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,9
vistrorio,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,8
vistrorio,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,11
vistrorio,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,24
vistrorio,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,38
vistrorio,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,28
viterbo,agenzia delle dogane,55,64,55-64,0,conto corrente/carta conto,7
viterbo,agenzia delle dogane,55,64,55-64,1,conto corrente/carta conto,9
viterbo,agenzia delle entrate,25,34,25-34,0,conto corrente/carta conto,11
viterbo,agenzia delle entrate,25,34,25-34,1,conto corrente/carta conto,9
viterbo,agenzia delle entrate,35,44,35-44,0,conto corrente/carta conto,11
viterbo,agenzia delle entrate,35,44,35-44,1,conto corrente/carta conto,10
viterbo,agenzia delle entrate,45,54,45-54,0,conto corrente/carta conto,20
viterbo,agenzia delle entrate,45,54,45-54,1,conto corrente/carta conto,26
viterbo,agenzia delle entrate,55,64,55-64,0,conto corrente/carta conto,12
viterbo,agenzia delle entrate,55,64,55-64,1,conto corrente/carta conto,30
viterbo,azienda regionale emergenza sanitaria,25,34,25-34,0,conto corrente/carta conto,8
viterbo,azienda regionale emergenza sanitaria,25,34,25-34,1,conto corrente/carta conto,7
viterbo,azienda regionale emergenza sanitaria,35,44,35-44,0,conto corrente/carta conto,7
viterbo,azienda regionale emergenza sanitaria,35,44,35-44,1,conto corrente/carta conto,16
viterbo,azienda regionale emergenza sanitaria,45,54,45-54,0,conto corrente/carta conto,9
viterbo,azienda regionale emergenza sanitaria,45,54,45-54,1,conto corrente/carta conto,24
viterbo,azienda regionale emergenza sanitaria,55,64,55-64,0,conto corrente/carta conto,6
viterbo,azienda regionale emergenza sanitaria,55,64,55-64,1,conto corrente/carta conto,32
viterbo,azienda sanitaria locale viterbo,18,24,18-24,0,conto corrente/carta conto,6
viterbo,azienda sanitaria locale viterbo,25,34,25-34,0,conto corrente/carta conto,132
viterbo,azienda sanitaria locale viterbo,25,34,25-34,1,conto corrente/carta conto,62
viterbo,azienda sanitaria locale viterbo,35,44,35-44,0,conto corrente/carta conto,171
viterbo,azienda sanitaria locale viterbo,35,44,35-44,1,conto corrente/carta conto,59
viterbo,azienda sanitaria locale viterbo,45,54,45-54,0,conto corrente/carta conto,216
viterbo,azienda sanitaria locale viterbo,45,54,45-54,1,conto corrente/carta conto,100
viterbo,azienda sanitaria locale viterbo,55,64,55-64,0,conto corrente/carta conto,179
viterbo,azienda sanitaria locale viterbo,55,64,55-64,1,conto corrente/carta conto,101
viterbo,azienda sanitaria locale viterbo,65, ,65- ,0,conto corrente/carta conto,12
viterbo,azienda sanitaria locale viterbo,65, ,65- ,1,conto corrente/carta conto,15
viterbo,ispettorato nazionale del lavoro,35,44,35-44,0,conto corrente/carta conto,6
viterbo,ispettorato nazionale del lavoro,45,54,45-54,0,conto corrente/carta conto,7
viterbo,ispettorato nazionale del lavoro,55,64,55-64,0,conto corrente/carta conto,10
viterbo,ministero dell'economia e finanze,55,64,55-64,1,conto corrente/carta conto,10
viterbo,ministero dell'economia e finanze,65, ,65- ,1,conto corrente/carta conto,6
